%cpu,%mem
0.4,0.0163447
0.4,0.0163447
1.1,0.0163699
0.4,0.0163699
0.5,0.016366
0.5,0.0163486
0.2,0.0163466
0.2,0.0163427
0.4,0.0163583
0.4,0.0163563
0.4,0.0163466
0.4,0.0163389
0.2,0.0163563
0.4,0.0163563
0.4,0.0163505
0.4,0.0163505
0.4,0.0163486
0.2,0.0163486
0.4,0.0163505
0.4,0.0163505
0.2,0.0163505
0.4,0.0163486
0.4,0.0163583
0.4,0.0163583
0.4,0.0163621
0.4,0.0163544
0.2,0.0163583
0.7,0.0163602
0.4,0.0163641
0.2,0.0163641
0.2,0.0163427
0.0,0.0163486
0.2,0.0163505
0.2,0.0163466
0.2,0.0163466
0.5,0.0163776
0.0,0.0163621
0.2,0.0163563
0.2,0.0163563
0.2,0.0163544
0.4,0.0163563
0.2,0.0163718
0.2,0.0163563
0.0,0.0163486
0.2,0.0163505
0.4,0.0163505
0.2,0.0163524
0.2,0.0163524
2.0,0.0163757
0.2,0.0163641
0.5,0.0163583
0.2,0.0163583
0.4,0.0163583
0.4,0.0163544
0.0,0.0163563
0.4,0.0163563
0.2,0.0163583
0.4,0.0163563
0.4,0.0163583
0.4,0.0163602
0.4,0.0163602
0.4,0.0163583
0.4,0.0163389
0.2,0.0163427
0.2,0.0163427
0.2,0.0163408
0.4,0.0163427
0.5,0.0163524
0.4,0.0163524
0.2,0.0163544
0.5,0.0163544
0.5,0.0163563
0.4,0.0163544
0.5,0.0163505
0.2,0.0163524
0.2,0.016335
0.2,0.016335
0.4,0.016333
0.4,0.016335
0.2,0.0163369
0.2,0.0163389
0.2,0.0163369
0.4,0.016335
0.2,0.0163369
0.4,0.0163408
0.5,0.0163408
0.2,0.016335
0.5,0.016333
0.2,0.016335
0.4,0.016333
0.2,0.0163447
0.4,0.0163427
0.5,0.016333
0.2,0.0163369
0.2,0.0163272
0.5,0.0163253
0.0,0.0163272
0.0,0.0163233
0.2,0.0163253
0.0,0.0163292
0.4,0.0163272
0.4,0.0163253
0.2,0.0163253
0.4,0.0163272
0.2,0.0163292
0.2,0.0163311
0.4,0.0163311
0.4,0.016333
0.2,0.0163408
0.2,0.0163427
0.2,0.0163369
0.4,0.0163408
0.5,0.0163389
0.4,0.0163408
0.2,0.0163524
0.2,0.0163524
0.2,0.0163427
0.4,0.0163447
0.5,0.0163583
0.2,0.0163563
0.2,0.0163447
0.2,0.0163563
0.4,0.0163466
0.0,0.0163544
0.2,0.0163544
0.4,0.0163544
0.2,0.016335
0.2,0.0163369
0.5,0.0163369
0.4,0.0163389
0.2,0.0163369
0.2,0.0163486
0.4,0.0163447
0.2,0.0163369
0.7,0.0163389
0.0,0.0163389
0.4,0.0163427
0.5,0.0163427
0.2,0.0163427
0.4,0.0163447
0.4,0.0163466
0.4,0.0163427
0.5,0.0163563
0.2,0.0163524
0.7,0.0163272
0.7,0.0163292
0.2,0.0163214
0.2,0.0163214
